,originalTitle,director,startYear,runtimeMinutes,genre1,genre2,genre3,overview,popularity,ID
451,Fausto,Rémy Duchemin,1993,82,Comédie,,,"Fausto entre dans un orphelinat et est d'abord victime d'intimidation, mais se lie ensuite d'amitié avec un nouveau compagnon de couchette, Raymond. Il est apprenti chez Mietek, tailleur du quartier juif, qui lui apprend le métier. Fausto charme tout le monde dans le quartier et tombe amoureux de Tonie, la fille du mécanicien. Il commence à confectionner des costumes scandaleux pour la publicité et, après avoir habillé Tonie, décide qu'il veut devenir un célèbre couturier.",0.916,https://m.media-amazon.com/images/M/MV5BMTY2NzQxOTcyM15BMl5BanBnXkFtZTcwMTM4MDcxMQ@@._V1_.jpg
452,La Florida,George Mihalka,1993,112,Comédie,,,"Fatiguée des hivers rigoureux, une famille québécoise achète un motel dans le sud de la Floride. Mais la vie n’est pas facile là où les motels poussent plus vite que l’herbe. Deux hommes d'affaires plus importants les poursuivent pour avoir envahi leur territoire. Cependant, ce n’est même pas le début de leurs ennuis…",2.173,https://m.media-amazon.com/images/M/MV5BZTI2YzYxNmQtYzZmNy00YzM0LWE0OWMtM2IxNDhiYjdiOTE5XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
453,Germinal,Claude Berri,1993,160,Drame,Romance,,"Nous sommes au milieu du 19e siècle, dans le nord de la France. L'histoire d'une ville de mineurs de charbon. Ils sont exploités par le propriétaire de la mine. Un jour, ils décident de se mettre en grève, puis les autorités les répriment.",10.998,https://m.media-amazon.com/images/M/MV5BMTAwMzU4M2YtOGUyYS00ZTIxLTgxMDYtY2E3MzNhOGQ2YzhlXkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_.jpg
454,Jeanne la Pucelle I - Les batailles,Jacques Rivette,1994,160,Biographie,Drame,Histoire,"Jeanne d'Arc quitte la maison de son enfance après avoir entendu ce qu'elle croit être la voix de Dieu. Convaincue qu'elle seule peut mener la France à la victoire contre les envahisseurs anglais, elle supplie Charles, héritier du trône, de lui permettre de guider ses troupes sur le champ de bataille.",2.441,https://m.media-amazon.com/images/M/MV5BM2U5ZGNhODUtMjdlNy00MDVkLWI2ZjAtM2M3OGYwNDA0YWVhXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
455,Latcho Drom,Tony Gatlif,1993,103,Documentaire,Musique,,"Latcho Drom est un aperçu de la musique, de la culture et du voyage du peuple rom, de son pays natal, l'Inde, à l'Europe et à l'Asie du Sud-Ouest.",2.94,https://m.media-amazon.com/images/M/MV5BODk1Mjg5MDkyOV5BMl5BanBnXkFtZTcwNTMxMjEyMQ@@._V1_.jpg
456,Ma saison préférée,André Téchiné,1993,127,Drame,Romance,,"Berthe, une femme âgée, quitte sa maison pour vivre avec sa fille Emilie. Emilie et son frère Antoine se sont disputés il y a trois ans et ne se sont plus revus depuis, mais Emilie l'invite pour Noël. Des souvenirs vont refaire surface et impacter à la fois le destin de Berthe et l'étrange relation entre Emilie et Antoine.",1.909,https://m.media-amazon.com/images/M/MV5BMjAzNTg3MTMyMV5BMl5BanBnXkFtZTcwNjE0NDQ3Mg@@._V1_.jpg
457,Matusalem,Roger Cantin,1993,105,Aventure,Famille,Fantaisie,"Fuyant d'autres enfants qui veulent le battre, Olivier rencontre le fantôme d'un pirate qui tente tous les cent ans de retrouver un parchemin. Olivier accepte de l'aider. Mais ce faisant, il est capturé par une bande de pirates. Les autres enfants du village découvrent une porte à travers le temps et l'espace dans une vieille maison hantée et décident de sauver Olivier des pirates du capitaine Monbars.",1.47,https://m.media-amazon.com/images/M/MV5BMTUxMTk1NDEzNV5BMl5BanBnXkFtZTcwMTY3NDEzMQ@@._V1_.jpg
458,Métisse,Mathieu Kassovitz,1993,94,Comédie,Romance,,"Lola est enceinte et ne sait pas qui est le père : Félix, un livreur juif, ou Jamal, un étudiant noir en droit.",2.427,https://m.media-amazon.com/images/M/MV5BNGY4Y2E0YWQtODI4Yy00YTI3LTkyMWQtZTk3N2E1YWFmYWY3XkEyXkFqcGdeQXVyMTEyODk3NTgz._V1_.jpg
459,La postière,Gilles Carle,1992,97,Comédie,,,"En 1935, dans un village québécois, un garçon observe avec curiosité les petites intrigues du monde des adultes.",0.84,https://m.media-amazon.com/images/M/MV5BZWM2MDQ0MjAtYzIyZi00YTkxLTllMGYtMWVlNjdlYzk4OGIyXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
460,Smoking/No Smoking,Alain Resnais,1993,298,Comédie,Drame,,"""Smoking"" et ""No Smoking"" sont deux segments du film basés sur des pièces étroitement liées. Les pièces originales couvraient huit histoires distinctes, qui ont été réduites à trois chacune pour ces films. A un moment donné de l'histoire de chaque segment, les cinq personnages féminins (tous interprétés par Sabine Azema) et les quatre personnages masculins (tous interprétés par Pierre Arditi) voient leur vie savamment récapitulée en termes de « ce qui aurait pu arriver » s'ils avait fait ou omis de faire certains choix. Par exemple, ""No Smoking"" se concentre principalement sur la relation entre Miles Coombes, aux manières douces, et son épouse infiniment plus agressive et ambitieuse, Rowena.",3.667,https://m.media-amazon.com/images/M/MV5BMTQ3MDcxZGMtYjk5YS00OTQwLWEwNmYtOGEyMGJmMzY1MTMwXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg
461,Trois couleurs: Bleu,Krzysztof Kieslowski,1993,94,Drame,Musique,Mystère,"Julie est hantée par son chagrin après avoir vécu un tragique accident de voiture qui a coûté la vie à son mari compositeur et à sa jeune fille. Sa première réaction est de se retirer de ses relations, de s'enfermer dans son appartement et de réprimer sa douleur. Mais éviter les interactions humaines dans les rues animées de Paris s'avère impossible, et elle finit par rencontrer Olivier, un vieil ami qui nourrit un amour secret pour elle et qui pourrait la ramener à la réalité.",13.814,https://m.media-amazon.com/images/M/MV5BZWMwYjM2ZWMtODI1NC00OWJiLWFiZTktZTRiODFlMDM3M2MwXkEyXkFqcGdeQXVyMTA2ODMzMDU@._V1_.jpg
462,Les visiteurs,Jean-Marie Poiré,1993,107,Comédie,Fantaisie,,"Cette comédie scandaleuse de voyage dans le temps suit les mésaventures d'un chevalier médiéval farfelu (Jean Reno) et de son fidèle serviteur lorsqu'ils sont accidentellement transportés dans les temps contemporains par un sorcier sénile. Le chaos règne alors que ces visiteurs du XIIe siècle tentent de s’adapter au monde moderne extrêmement confus. Cependant, pour éviter de rester coincés ici pour de bon, ils se lancent bientôt dans un assaut cosmique total contre leur ancien château – aujourd'hui transformé en hôtel de luxe – dans leur quête de retour dans le passé.",15.673,https://m.media-amazon.com/images/M/MV5BNTgyYjk5ZDktZjY5Ni00YjNmLWJjNTctMmRmNzc0ZGIzMGMzXkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_.jpg
463,Asterix in America,Gerhard Hahn,1994,85,Aventure,Animation,Comédie,"Lorsque des Romains en maraude capturent - et catapultent - leur ami Getafix dans des terres inconnues, l'astucieux et rusé Astérix et son habile acolyte Obélix entrent en action ! Mais leur voyage les mène dans un nouveau monde étrange et dangereux, où ils doivent affronter une tribu d'Indiens, un troupeau de buffles en fuite et un guérisseur qui a des desseins sur leur potion magique !",12.239,https://m.media-amazon.com/images/M/MV5BOTJjOGJjYzYtMDEzNy00YWY5LWI1OWQtMzBlYmRlYTgwNjljXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg
464,Le colonel Chabert,Yves Angelo,1994,110,Drame,Histoire,Romance,"Le colonel Chabert a été grièvement blessé lors de la guerre napoléonienne franco-russe au point que le médecin légiste a signé son acte de décès. Lorsqu'il retrouve santé et mémoire, il retourne à Paris, où sa « veuve », Anne, a épousé le comte Ferraud et finance son accession au pouvoir avec l'argent de Chabert. Chabert engage un avocat pour l'aider à récupérer son argent et son honneur.",3.271,https://m.media-amazon.com/images/M/MV5BODNkNDQ2MTktY2Q3Ny00MzRkLTkyMTEtZGE0NjRhMDJmMTlkXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_.jpg
465,L'eau froide,Olivier Assayas,1994,95,Drame,,,"En banlieue parisienne, 1972. Gilles et Christine, tous deux seize ans, sont des camarades de classe et des amants frustrés par l'éloignement de leurs familles et la monotonie générale de leur vie. Lorsque les deux hommes sont surpris en train de voler à l'étalage, le père de Christine l'envoie dans un foyer pour enfants émotionnellement perturbés, mettant temporairement un espace entre elle et Gilles. Heureusement pour eux, elle s'échappe et le couple envisage de s'enfuir ensemble.",2.699,https://m.media-amazon.com/images/M/MV5BODhmMDFlNTAtMmQ4YS00MzRkLTlkNTUtMDcyMzkxNmU1YTBjXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
466,L'enfer,Claude Chabrol,1994,102,Crime,Drame,Thriller,Un directeur d'hôtel irritable et stressé commence à développer des délires paranoïaques à propos de l'infidélité de sa femme.,13.281,https://m.media-amazon.com/images/M/MV5BMmYzOGU4YTMtNjAwZi00YTg3LWJkYTQtODI0ZjRkNDdlNWJiXkEyXkFqcGdeQXVyNjU1MDU2MTY@._V1_.jpg
467,Farinelli,Gérard Corbiau,1994,111,Biographie,Drame,Musique,"Farinelli est un film biographique de 1994 sur la vie et la carrière du chanteur d'opéra italien Farinelli, considéré comme l'un des plus grands chanteurs castrats de tous les temps.",8.662,https://m.media-amazon.com/images/M/MV5BOGI0YWMzMGMtODBlMi00NmRkLWFkZGUtMDdjYmM3YWE3N2NmXkEyXkFqcGdeQXVyMTcwOTQzOTYy._V1_.jpg
468,La fille de d'Artagnan,Bertrand Tavernier,1994,125,Action,Aventure,Comédie,"Nous sommes en 1654, dans le sud de la France. Lorsque des cavaliers suivent un esclave en fuite dans le couvent où il s'est réfugié et tuent à la fois le fugitif et la mère supérieure, ils ne se rendent pas compte que l'une des novices est la fille pleine d'entrain du mousquetaire à la retraite D'Artagnan.",7.121,https://m.media-amazon.com/images/M/MV5BNjNiNDExOGMtZTE1Yi00YTJiLTk3YzUtMTc3ODYzNjJiNGZkXkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
469,Giorgino,Laurent Boutonnat,1994,177,Aventure,Drame,Horreur,"Octobre 1918 : De retour à la vie civile, le jeune docteur Giorgino Volli part à la recherche d'un groupe d'enfants dont il avait la garde avant le début de la Première Guerre mondiale. Cependant, la recherche devient bientôt une partie de cache-cache avec la mort. Giorgino découvre un village bordé d'un marais perfide et des rumeurs de loups. Là, il rencontre également la mystérieuse Catherine....",1.654,https://m.media-amazon.com/images/M/MV5BZmMyMDkxMzgtNTQ1My00M2MyLTlkYjUtMDAyMWQyOTJlZTViXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_.jpg
470,Grosse fatigue,Michel Blanc,1994,92,Comédie,,,"Stressé et surmené, la célèbre star du cinéma français Michel Blanc commence à s'épuiser, physiquement et mentalement, sous la pression et les exigences de la célébrité. Déjà dans un état d'esprit fragile, d'étranges événements commencent à se produire autour de lui et il perd peu à peu son emprise. Suivant les conseils d'un psychiatre, Blanc se retire à la campagne avec son amie Carole Bouquet, mais Blanc n'arrive toujours pas à échapper à tous ses problèmes.",3.217,https://m.media-amazon.com/images/M/MV5BNWY1MDIwNDctYTg3MC00ZWFhLThiZTgtYWNlZjIwZmRjYTI4XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
471,J'ai pas sommeil,Claire Denis,1994,110,Drame,Mystère,Romance,"Dans le Paris des années 1980, une série de meurtres attire l'attention du public. Pendant ce temps, le magnifique Daiga déménage de Lituanie à Paris, le musicien immigré Théo a du mal à élever son jeune fils et le frère de Théo, un travesti gay nommé Camille, chante et danse dans un cabaret pour gagner sa vie. Tous trois sont aux prises avec l'isolement et les problèmes de la vie moderne, mais l'un d'eux pourrait être si désespérément aliéné qu'il est impliqué dans les meurtres en série.",1.266,https://m.media-amazon.com/images/M/MV5BMjAzMzk1NDQ3N15BMl5BanBnXkFtZTcwMzM5NjcyMQ@@._V1_.jpg
472,"Louis 19, le roi des ondes",Michel Poulette,1994,95,Comédie,Romance,,"Faites attention à ce que vous souhaitez… cela pourrait bien se réaliser. C'est le thème sous-jacent de cette comédie dramatique canadienne-française qui suit les difficultés d'un accro à la télévision qui remporte un concours de talents et se retrouve au cœur d'une série télévisée embarrassante et révélatrice. Louis Jobin est un jeune vendeur plutôt dépressif qui travaille dans un magasin d'électronique. La nuit, c'est un internaute passionné, assis sur son canapé et regardant sa télévision. Quand Channel 19 annonce un concours de talents. Louis entre immédiatement. Le gagnant du concours fera l'objet d'une émission télévisée, la Dixième chaîne filmant chaque mouvement, 24 heures sur 24, pendant trois mois. Louis remporte le concours et est d'abord ravi de son prix, mais commence ensuite à ressentir le contraire après être devenu une célébrité.",1.405,https://m.media-amazon.com/images/M/MV5BOTMxZDU4M2UtYTA0Yy00OTEzLWI1NjEtMDdhZWQ5MDllNjdlXkEyXkFqcGdeQXVyNjEzMTg5Njk@._V1_.jpg
473,Mina Tannenbaum,Martine Dugowson,1994,128,Drame,,,"Le film raconte l'histoire de deux filles aux caractères totalement différents. Ils se connaissent depuis leur enfance et étaient amis jusqu’à devenir adolescents. Mais en grandissant et en devenant adultes, ils suivent des chemins différents.",2.395,https://m.media-amazon.com/images/M/MV5BMTgzOTMxNTc3NV5BMl5BanBnXkFtZTcwOTE5MjcxMQ@@._V1_.jpg
474,Mouvements du désir,Léa Pool,1994,93,Drame,Romance,,"Au cours du long trajet en train de Montréal à Vancouver, un homme et une femme se sentent de plus en plus attirés l'un par l'autre.",1.622,https://m.media-amazon.com/images/M/MV5BNmJjM2RiMzEtZDJjMS00NWMzLTlhZGYtYjkwZDc5OGM2OGI2XkEyXkFqcGdeQXVyNTY1MDY1NjY@._V1_.jpg
475,Neuf mois,Patrick Braoudé,1994,110,Comédie,,,"Samuel est psychanalyste. Toute la journée, il voit des patients exprimer des chagrins, en particulier des adolescents rebelles qui méprisent leurs parents. Cette situation l'a conduit à voir d'un mauvais œil l'idée de sa paternité. C'est alors que sa compagne Mathilde lui annonce qu'elle est enceinte. Terrifié par l'idée, Samuel vit les neuf mois de grossesse de Mathilde plutôt comme un cauchemar, et les conseils de son ami Marc, homme à femmes mais célibataires endurci, n'arrangent rien à son angoisse. De leur côté, Georges et Dominique, la sœur de Marc, déjà parents de trois filles, affrontent sans inquiétude la quatrième grossesse de Dominique. L'expérience des uns va finalement avoir raison des appréhensions des autres, et entre les deux couples vont se tisser de solides nœuds d'amitié.",2.367,https://m.media-amazon.com/images/M/MV5BMjE2MDE0Nzk0MV5BMl5BanBnXkFtZTYwMjc4NDU5._V1_.jpg
476,Octobre,Pierre Falardeau,1994,97,Drame,,,"Une dramatisation de l'enlèvement et du meurtre d'un ministre du gouvernement québécois par une cellule du Front de libération du Québec. En octobre 1970, un groupe de la même organisation kidnappa le consul britannique à Montréal. Quelques jours plus tard, un deuxième groupe enlevait Pierre Laporte, un ministre du gouvernement du Québec. Le film raconte l'histoire de cette dernière cellule terroriste qui s'est soldée par la mort de son otage.",1.35,https://m.media-amazon.com/images/M/MV5BMTI1Nzg1NDYyNV5BMl5BanBnXkFtZTcwNDk4NDEzMQ@@._V1_.jpg
477,Personne ne m'aime,Marion Vernoux,1994,98,Comédie,Drame,,Plusieurs vies se croisent lorsqu'une femme d'âge moyen est abandonnée par son mari et décide de le rejoindre avec l'aide de sa sœur tout aussi troublée.,0.6,https://m.media-amazon.com/images/M/MV5BMzRhMGMxN2EtZTE2Yy00N2U1LTg1N2EtNTk2YmE0MjhmMTg0XkEyXkFqcGdeQXVyNzU3NjUzNTc@._V1_.jpg
478,Una pura formalità,Giuseppe Tornatore,1994,108,Crime,Drame,Thriller,"Onoff est un écrivain célèbre, désormais reclus. L'inspecteur se méfie lorsqu'Onoff est amené une nuit au commissariat, désorienté et souffrant d'une sorte d'amnésie. Dans un commissariat de police rural et isolé, l'inspecteur tente d'établir les événements entourant un meurtre afin de parvenir à une résolution surprenante.",7.514,https://m.media-amazon.com/images/M/MV5BYTg4NzkxZmItOWI0OS00MmRkLWExZGYtZWNhOTgwYzZhMTk4XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_.jpg
479,La reine Margot,Patrice Chéreau,1994,161,Biographie,Drame,Histoire,"Paris, Royaume de France, 18 août 1572. Pour éviter le déclenchement d'une guerre de religion, la princesse catholique Marguerite de Valois, sœur du faible roi Charles IX, épouse le roi huguenot Henri III de Navarre.",16.692,https://m.media-amazon.com/images/M/MV5BNTc4NTdjODgtZmI1MS00MDI5LWFhZjYtMjAzNTVhYzk1ZjFiXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_.jpg
480,The Return of Tommy Tricker,Michael Rubbo,1994,97,Aventure,Famille,Fantaisie,"Bienvenue dans le monde des timbres avec Tommy Tricker et ses amis alors qu'ils apprennent la magie du voyage à travers le temps et l'espace pour le simple prix des frais de port. Bien sûr, rien n'est aussi facile qu'il y paraît, comme ils l'apprennent bientôt lorsqu'ils tentent de sauver Charles Merriweather, un voyageur de timbres figé dans le temps depuis sa dernière tentative de voyage de timbres, il y a 65 ans. Mais Charles s'avère être une fille, sa sœur Molly ! Et elle devient rapidement une vieille femme. Pour trouver un remède, Tommy se lance dans une course contre la montre qui le mène, lui et Molly, vers les îles exotiques et magiques du Pacifique Sud.",1.041,https://m.media-amazon.com/images/M/MV5BZDFiNWZkMzctMDg2MC00NDJiLWJlMzQtMTNjNDcwZWMyZWFiXkEyXkFqcGdeQXVyNjQ3MTM4OTQ@._V1_.jpg
481,Les roseaux sauvages,André Téchiné,1994,110,Drame,,,"Alors que la guerre d'Algérie touche à sa fin, un adolescent avec une petite amie commence à ressentir des pulsions homosexuelles pour deux de ses camarades de classe : un garçon de la campagne et un intellectuel franco-algérien.",6.906,https://m.media-amazon.com/images/M/MV5BMzM4ZGFiYmQtNmU5Ny00MTRmLWI0ZjItNDQwOTBhYjg2ZDY0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
482,Le sourire,Claude Miller,1994,85,Comédie,Drame,,"Un vieux psychiatre découvre qu'il risque de subir une deuxième crise cardiaque, probablement mortelle, dans un avenir proche. En conséquence, il devient déterminé à séduire Odile, une jeune femme qu'il rencontre pour la première fois dans un compartiment ferroviaire.",2.782,https://m.media-amazon.com/images/M/MV5BM2ZkYWE2MzctNTRjZS00M2VhLTllOTAtYjc0YTA2N2RmMDA1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
483,La séparation,Christian Vincent,1994,88,Drame,Romance,,"A Paris, Pierre et Anne vivent ensemble depuis quelques années et ils ont un fils de dix-huit mois, Loulou, qui reste avec la nounou Laurence pendant la journée pendant qu'ils travaillent. Leurs meilleurs amis sont le couple Victor et Claire, qui ne sont pas non plus mariés mais vivent ensemble. À l'improviste, Pierre sent Anne séparée de lui et plus tôt elle révèle qu'elle est amoureuse d'un autre homme. Pierre semble accepter sa liaison mais leur relation se dégrade rapidement et Pierre devient violent avec elle.",1.431,https://m.media-amazon.com/images/M/MV5BMTgyOTg5MzEyOF5BMl5BanBnXkFtZTcwMDk2NDU4MQ@@._V1_.jpg
484,Trois couleurs: Rouge,Krzysztof Kieslowski,1994,99,Drame,Mystère,Romance,"Valentine, étudiante mannequin à Genève, se bat avec un petit ami possessif et une famille en difficulté. Lorsqu'elle renverse un chien, elle découvre que son propriétaire, un juge à la retraite, met illégalement sur écoute et écoute les appels téléphoniques de ses voisins. Bien que Valentine soit indignée, elle développe un lien étrange avec le juge – et à mesure que les deux se rapprochent, elle se retrouve prise au milieu d'événements qui pourraient changer sa vie.",12.935,https://m.media-amazon.com/images/M/MV5BY2ExZDg1ZTUtYmI1OC00YjVlLTkyOWUtM2I3OTcwZDZlM2I0XkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_.jpg
485,Trois couleurs: Blanc,Krzysztof Kieslowski,1994,92,Comédie,Drame,Romance,"L'immigrant polonais Karol Karol se retrouve sans mariage, sans emploi et sans pays lorsque sa femme française, Dominique, divorce au bout de six mois en raison de son impuissance. Contraint de quitter la France après avoir perdu l'entreprise qu'ils possédaient conjointement, Karol fait appel à son compatriote expatrié polonais Mikołaj pour le ramener clandestinement dans leur pays d'origine.",13.473,https://m.media-amazon.com/images/M/MV5BMTc1ODkzOWItNmM4NS00OGQzLTg5NjctOThjY2M1MGI5ZTRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg
486,Un indien dans la ville,Hervé Palud,1994,90,Aventure,Comédie,Romance,"Stephen, un commerçant international, retrouve son ex-femme Patricia dans un coin perdu d'Amazonie. Il a besoin de son consentement au divorce pour pouvoir épouser Charlotte. Malheureusement, il découvre un fils dont il ignorait l'existence : Mimi-Siku. Le jeune garçon de la jungle aspire à voir Paris alors Stephen accepte à contrecœur de le ramener chez lui pour quelques jours. Comment Mimi-Siku va-t-elle réagir à la vie dans la grande métropole ?",6.972,https://m.media-amazon.com/images/M/MV5BOTY4MjE0NzQ5MV5BMl5BanBnXkFtZTYwNDY3MTc4._V1_.jpg
487,Un été inoubliable,Lucian Pintilie,1994,82,Drame,Romance,Guerre,"En Roumanie, 1925, la jeune Marie-Thérèse Von Debretsy refuse les avances coquettes du commandant de son mari. En conséquence, la famille cosmopolite est réaffectée dans un avant-poste brutalement sombre et dangereux à la frontière entre la Bulgarie et la Roumanie, où leurs relations et leur humanité sont mises à rude épreuve.",2.547,https://m.media-amazon.com/images/M/MV5BMWJlNmM2ZTUtNjhmOC00OWNhLWFlMjMtZjU5NmEzYjc4OGY4XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_.jpg
488,La vengeance d'une blonde,Jeannot Szwarc,1994,95,Comédie,,,"Un honnête reporter provincial devient présentateur du journal télévisé sur une chaîne commerciale appartenant à un homme d'affaires italien influent. Il devient vite trop grand pour sa famille et la néglige terriblement. En enquêtant sur une cellule terroriste fasciste, l'intégrité du journaliste est mise en doute par la police. Peu de temps après, sa femme jalouse déchaîne sa colère en direct à la télévision. Cela va de mal en pis jusqu'à ce que la colère de sa femme le ramène à la raison et à la maison.",3.337,https://m.media-amazon.com/images/M/MV5BMGYxNjk5NzAtYjI2MS00NTg0LThmN2QtYTRhNDg0OGE5Njc1XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg
489,Le vent du Wyoming,André Forcier,1994,99,Comédie,Drame,,"Manon est obsédée par le célèbre écrivain Chester Céline, originaire du Wyoming. Manon apprend que Chester arrive en ville et devient une tentatrice svelte et moulante.",1.3,https://m.media-amazon.com/images/M/MV5BMTg2N2RlYTYtM2YwYS00ODI4LWIwY2YtMmY5ZmI4YmUzY2I4XkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
490,Les anges gardiens,Jean-Marie Poiré,1995,110,Action,Comédie,Crime,Un propriétaire de boîte de nuit parisien et ancien détective s'envole pour Hong Kong pour sauver le jeune fils d'un ami assassiné par la mafia chinoise.,8.565,https://m.media-amazon.com/images/M/MV5BOGU2Y2MzNjMtNWIyYS00OTcxLTgwMGUtMjFkMTIyNmU3ZWUwXkEyXkFqcGdeQXVyMTI1Mzg0ODA5._V1_.jpg
491,L'appât,Bertrand Tavernier,1995,115,Crime,Drame,,"Avec l'ambition de démarrer une boutique à l'étranger mais sans les moyens pour le faire, Nathalie se retrouve dans une situation désespérée, où elle ferait tout pour acquérir ce dont elle a besoin. Avec son petit ami, Eric, et son ami Bruno, elle concocte un plan dans lequel elle séduit des hommes désemparés et les accompagne chez eux, puis permet à Eric et Bruno de s'introduire par effraction. Mais les trois rencontrent bientôt des ennuis après que l'un de leurs plans se termine en meurtre.",4.86,https://m.media-amazon.com/images/M/MV5BYzM5OWE1ZDYtNTg0OC00NTc0LTk5MTAtYWFiYzA3OTVjNWRmL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
492,Le bonheur est dans le pré,Étienne Chatiliez,1995,106,Comédie,,,"Francis, patron d'une petite entreprise de fournitures de plomberie, est harcelé par des collecteurs d'impôts, des employés en grève, ainsi qu'une épouse et une fille impossibles. Sa seule joie est de partager le déjeuner avec son ami Gérard. Puis une émission télévisée intitulée ""Où es-tu ?"" montre une Gersoise qui recherche son mari disparu il y a 28 ans. Le mari perdu ressemble à un jumeau identique de Francis...",3.68,https://m.media-amazon.com/images/M/MV5BNWVlZDI1MTEtNGMxMS00ZWUyLWE4MDAtYzE5MzY0YjA2ZWM0XkEyXkFqcGdeQXVyMjQzMzQzODY@._V1_.jpg
493,La cité des enfants perdus,,1995,112,Aventure,Drame,Fantaisie,"Un scientifique d'une société surréaliste kidnappe des enfants pour leur voler leurs rêves, dans l'espoir qu'ils ralentissent son processus de vieillissement.",14.815,https://m.media-amazon.com/images/M/MV5BYjBlOGFhODEtZThmMS00OTgwLTk0MjAtNDgxNWFhY2JhYTE1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg
494,Le confessionnal,Robert Lepage,1995,100,Drame,Mystère,Thriller,"Pierre Lamontagne est de retour au Québec pour assister aux funérailles de son père. Il retrouve son frère adoptif, Marc, qui commence à s'interroger sur son identité et se lance dans une quête de ses racines qui les mènera dans le Québec des années 1950. Passé et présent convergent dans un réseau complexe d'intrigues où réside la réponse au mystère.",1.68,https://m.media-amazon.com/images/M/MV5BNmVjMDhmNzQtOTk2ZS00MmMwLTkyMTMtYjA2NzY5NGM5OTE2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_.jpg
495,La cérémonie,Claude Chabrol,1995,111,Crime,Drame,Thriller,"Sophie, une servante calme et timide travaillant pour une famille française de la haute société, trouve un ami en la personne de l'énergique et intransigeante maîtresse de poste Jeanne, qui l'encourage à s'opposer à ses employeurs bourgeois.",7.953,https://m.media-amazon.com/images/M/MV5BZjIwYmYxY2EtNDgzYy00MDg0LTljN2MtNjc5N2M4OGJlOGI2XkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_.jpg
496,Les deux orphelines vampires,Jean Rollin,1997,107,Drame,Fantaisie,Horreur,"Deux adolescentes aveugles le jour, mais quand le soleil se couche, elles parcourent les rues pour étancher leur soif de sang.",8.761,https://m.media-amazon.com/images/M/MV5BMjA1NTM5NzQ1NV5BMl5BanBnXkFtZTcwNzE1NDEyMQ@@._V1_.jpg
497,Eldorado,Charles Binamé,1995,104,Drame,,,"Ce drame canadien de forme libre raconte la vie dysfonctionnelle de six jeunes vivant à Montréal au cours de l'été 1994. Tous les personnages ont la vingtaine et sont tous insatisfaits de la vie moderne. Rita est un enfer sur les rollers et gagne sa vie en roue libre en saisissant des sacs à main et en cambriolant des voitures. Elle campe dans l'appartement de sa riche amie Roxan, qui consacre son temps libre à s'occuper des sans-abri. Lloyd est un DJ skinhead pour une station de radio alternative. Ses diatribes arrogantes et scandaleuses constituent la toile de fond du reste des histoires. Lloyd est amoureux de Loulou, barmaid dans un club punk. Loulou entretient une relation ennuyeuse avec Marc, commis dans un magasin d'alcool. elle se tourne vers Lloyd pour son enthousiasme. Enfin, il y a Henriette la détraquée, tellement occupée à évacuer sa névrose dans son cabinet de psy qu'elle n'a pas le temps d'écouter les conseils du médecin.",1.4,https://m.media-amazon.com/images/M/MV5BODAyNzdjYmQtMTFmZS00ZjlmLWFlZGItZGVkZTY3OWY5ZjNiXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_.jpg
